rank,stock_id,score
1,300251,1.0110022
2,300476,1.0072256
3,600183,0.9818385
4,600875,0.9602083
5,600547,0.955306
6,603893,0.94898564
7,002463,0.9486669
8,000975,0.94432753
9,300502,0.9193048
10,002600,0.91742784
11,300308,0.9113671
12,600362,0.9111534
13,600111,0.9062066
14,688256,0.9060852
15,600176,0.9047558
16,300408,0.9018195
17,603986,0.89879525
18,002028,0.8886524
19,300442,0.8807468
20,688041,0.87883
21,300803,0.8717063
22,601127,0.853164
23,300418,0.8423224
24,002916,0.83497834
25,300394,0.8230806
26,300433,0.8191097
27,603799,0.80720025
28,000977,0.8060904
29,002625,0.7748272
30,000063,0.77456063
31,002648,0.7692812
32,002384,0.76926816
33,600219,0.7657364
34,600489,0.764486
35,601898,0.76309437
36,601318,0.7527918
37,600415,0.7432885
38,603993,0.74299055
39,002938,0.7294815
40,603259,0.7275413
41,601600,0.72003084
42,601225,0.713569
43,688506,0.70513004
44,302132,0.70151
45,300274,0.6942448
46,601916,0.67910415
47,601229,0.67785436
48,002475,0.676798
49,688396,0.6765136
50,600522,0.6761661
51,000807,0.67389077
52,601825,0.673714
53,601689,0.6663058
54,300866,0.6658657
55,600160,0.6617443
56,601698,0.6565899
57,000792,0.6493131
58,300750,0.64703876
59,605117,0.62278944
60,601877,0.62204844
61,002466,0.60268486
62,002050,0.602498
63,603019,0.586407
64,601058,0.58637565
65,601077,0.5834958
66,688047,0.58110505
67,600919,0.5430093
68,601138,0.5355434
69,688008,0.53472614
70,000408,0.52528316
71,002001,0.51093245
72,601336,0.49337706
73,002736,0.49245337
74,600066,0.4897307
75,601601,0.4611692
76,601398,0.45142505
77,600000,0.44833848
78,601360,0.43851504
79,600028,0.4361539
80,000630,0.4241837
81,601688,0.41898325
82,601100,0.39434168
83,600036,0.3877271
84,601728,0.3486383
85,002241,0.34458315
86,002594,0.3279092
87,601298,0.3264043
88,601899,0.3220218
89,688126,0.30617955
90,603296,0.29310343
91,601319,0.25152752
92,000768,0.25134283
93,003816,0.21489948
94,688082,0.1968327
95,600015,0.1939844
96,000425,0.17983817
97,600460,0.16295037
98,000617,0.1509223
99,300661,0.13308021
100,688981,0.13121232
101,000963,0.11676642
102,605499,0.115600646
103,600989,0.086745575
104,601288,0.067312576
105,300759,0.030275902
106,601009,-0.018115552
107,601328,-0.019281747
108,000776,-0.025921734
109,600115,-0.04889506
110,601939,-0.04930807
111,601838,-0.05016905
112,600741,-0.08403343
113,601166,-0.11749184
114,600050,-0.15729581
115,603501,-0.17292678
116,688187,-0.19644025
117,002460,-0.21599975
118,601088,-0.2383817
119,600030,-0.24696125
120,002311,-0.28654027
121,601211,-0.33250493
122,002074,-0.3486255
123,300979,-0.38052645
124,002709,-0.4110265
125,301269,-0.4257375
126,301236,-0.51013535
127,600926,-0.53223425
128,601658,-0.5344639
129,600346,-0.5353896
130,000333,-0.54856247
131,601628,-0.5619766
132,002371,-0.5830534
133,600760,-0.7040631
134,600089,-0.7123307
135,600482,-0.72499436
136,002049,-0.7374004
137,601998,-0.78352875
138,601169,-0.8337662
139,601995,-0.8516232
140,601988,-0.8543686
141,000166,-0.8802338
142,601111,-0.9429758
143,000999,-0.970191
144,600660,-1.0561066
145,601818,-1.0993031
146,600900,-1.1358082
147,601377,-1.1410164
148,000001,-1.2701148
149,601857,-1.2801436
150,600061,-1.2873753
151,600377,-1.2922058
152,002252,-1.2929608
153,601236,-1.3371586
154,601881,-1.3814056
155,000661,-1.4897602
156,688111,-1.4973676
157,601766,-1.5017735
158,600803,-1.5631076
159,300347,-1.5663723
160,300832,-1.5879987
161,600031,-1.7280353
162,002422,-1.7404048
163,600905,-1.7437354
164,601018,-1.8160362
165,601136,-1.8621234
166,600150,-1.8951551
167,600023,-1.9180377
168,000938,-1.9708194
169,601878,-1.9828888
170,300014,-1.9939499
171,601816,-1.995186
172,000625,-2.0583484
173,000895,-2.0657823
174,001965,-2.0693154
175,300413,-2.1935742
176,600941,-2.205827
177,600027,-2.20806
178,600515,-2.22554
179,600930,-2.2517061
180,600029,-2.2850387
181,601021,-2.4265106
182,600010,-2.4333675
183,600018,-2.4356296
184,601668,-2.51605
185,600104,-2.5774906
186,601059,-2.6126206
187,601919,-2.6429307
188,600196,-2.727524
189,002027,-2.7282012
190,600999,-2.774239
191,600276,-2.777321
192,601633,-2.825238
193,600588,-2.8411405
194,600039,-2.901016
195,600011,-2.9643192
196,603260,-2.9843497
197,002714,-2.985378
198,600958,-2.9857678
199,600938,-3.0104926
200,002920,-3.0181549
201,601186,-3.0843003
202,600025,-3.0961137
203,601868,-3.114268
204,600584,-3.1595178
205,600690,-3.1923964
206,000338,-3.2235498
207,601066,-3.2344804
208,601669,-3.3410962
209,600795,-3.4405506
210,600918,-3.4799407
211,000651,-3.5107782
212,600372,-3.563863
213,688009,-3.5775716
214,688303,-3.5985558
215,601788,-3.6132362
216,600019,-3.6858876
217,601985,-3.7028377
