rank,feature,mi_score
1,volatility_20,0.06350307580634951
2,振幅,0.06263592265389217
3,volatility_10,0.05830000340425645
4,换手率,0.05432811852473929
5,return_5,0.03484358708062718
6,return_10,0.03422592184758777
7,涨跌幅,0.032460359049314214
8,return_1,0.029305031689031757
9,收盘,0.02722586827421747
10,ema_60,0.026830610960904444
11,ema_12,0.026648103846082627
12,ema_26,0.026151503796896236
13,sma_5,0.025878212067929063
14,atr_14,0.02580258318068651
15,sma_20,0.025447041054960096
16,最低,0.025358265768862687
17,最高,0.025195399206817903
18,high_low_spread,0.024748912147821045
19,成交额,0.02419457184951579
20,开盘,0.024100452683986973
21,boll_std,0.023851783486087186
22,rsi,0.02251337321750313
23,boll_mid,0.022167478331613033
24,macd,0.02206252313762125
25,low_close_spread,0.021640178087902306
26,macd_signal,0.01980133069962786
27,open_close_spread,0.01781958617503321
28,volume_ratio,0.01748691367360955
29,涨跌额,0.017045104548217616
30,high_close_spread,0.013156988220919708
31,kdj_k,0.012268896031157439
32,volume_ma_20,0.009716627177047243
33,kdj_d,0.007910529036592173
34,kdj_j,0.007724255897698207
35,obv,0.007476966996131651
36,成交量,0.00446445434580145
37,volume_change,0.004449665467714858
38,volume_ma_5,0.00413152419888263
