rank,feature,mi_score
1,振幅,0.06703304223275097
2,volatility_20,0.06638457926269492
3,volatility_10,0.05708933629695956
4,换手率,0.05319719858500083
5,return_10,0.03702017427532933
6,return_5,0.03665260775076895
7,涨跌幅,0.03238129523467581
8,atr_14,0.029835880344584176
9,return_1,0.029295333877507268
10,high_low_spread,0.028132553648322123
11,boll_mid,0.02668384708274285
12,收盘,0.02657317793057512
13,macd,0.02623434494260035
14,最高,0.02580573881653514
15,涨跌额,0.025729491033026797
16,sma_20,0.024880161833681136
17,ema_12,0.024568465030934128
18,最低,0.02447234060010839
19,sma_5,0.024016935144381968
20,boll_std,0.023392125975555622
21,macd_signal,0.023054211531277957
22,ema_26,0.02219108566003225
23,成交额,0.021931283922162592
24,rsi,0.02177919746001944
25,开盘,0.021709639954649695
26,ema_60,0.021654693600064334
27,low_close_spread,0.02156845396108409
28,open_close_spread,0.019706870014413624
29,volume_ratio,0.018089799977885512
30,high_close_spread,0.01609497505612012
31,kdj_k,0.010580867001426242
32,obv,0.00987264649260311
33,kdj_d,0.009790431262118204
34,volume_ma_20,0.009182934739466297
35,kdj_j,0.006325003967296183
36,成交量,0.00619829596623056
37,volume_change,0.005680402773529991
38,volume_ma_5,0.0011657480693196831
