rank,stock_id,score
1,300394,2.2689419
2,688256,1.734693
3,300418,1.6456134
4,605117,1.2499088
5,002463,0.9623078
6,300251,-0.064734645
7,600489,-0.52212846
8,300782,-0.88143104
9,601899,-0.8916801
10,300316,-0.9064167
11,600372,-0.9121767
12,603799,-0.9147442
13,002371,-0.91682124
14,600233,-0.9185048
15,601318,-0.92173815
16,002466,-0.9240757
17,600188,-0.9256655
18,600436,-0.9258932
19,601618,-0.9279409
20,601939,-0.93040895
21,002352,-0.93073845
22,688981,-0.9316316
23,600795,-0.9335343
24,300274,-0.9337839
25,002736,-0.93389505
26,000983,-0.934285
27,600426,-0.93443626
28,601881,-0.93489534
29,600115,-0.93490815
30,600660,-0.9356095
31,002594,-0.9370645
32,300408,-0.94065404
33,601601,-0.94089776
34,601077,-0.9424087
35,600111,-0.94422764
36,600919,-0.9446528
37,688506,-0.94495475
38,300760,-0.9459349
39,601288,-0.94611853
40,603260,-0.948957
41,600918,-0.94908696
42,601021,-0.94974196
43,000166,-0.9500602
44,002648,-0.9509733
45,601898,-0.9512809
46,688303,-0.9515468
47,000617,-0.95173097
48,601808,-0.9524461
49,600029,-0.95354414
50,600570,-0.9538175
51,300661,-0.95410585
52,600519,-0.9544501
53,600085,-0.95622545
54,000977,-0.95782685
55,600050,-0.9582841
56,300999,-0.95890445
57,000002,-0.959609
58,603993,-0.9601195
59,601668,-0.9611107
60,300308,-0.961616
61,600588,-0.96208227
62,600926,-0.96213675
63,000596,-0.96231055
64,300750,-0.9623527
65,300803,-0.9624375
66,601628,-0.96315837
67,002625,-0.9634205
68,002714,-0.96356314
69,600027,-0.9645989
70,002236,-0.96475494
71,002422,-0.96547174
72,000786,-0.96576387
73,000999,-0.96606773
74,600011,-0.9661373
75,601857,-0.9663241
76,601998,-0.96644294
77,600309,-0.96858054
78,603501,-0.9687461
79,601009,-0.97051746
80,000625,-0.9719738
81,600104,-0.9729478
82,300979,-0.97305775
83,002938,-0.9736345
84,600515,-0.97420776
85,301236,-0.9743693
86,600026,-0.97449714
87,000301,-0.97476804
88,002074,-0.9749038
89,600061,-0.9754153
90,600150,-0.9756778
91,601211,-0.9762918
92,600066,-0.97647965
93,000963,-0.9767417
94,601059,-0.9770011
95,601138,-0.9772792
96,600941,-0.9773927
97,688036,-0.97751343
98,000333,-0.9777251
99,688047,-0.978397
100,601901,-0.97981584
101,601816,-0.9799365
102,600089,-0.980325
103,600585,-0.9808957
104,000708,-0.9809624
105,600028,-0.9813704
106,002179,-0.98143
107,688223,-0.98166865
108,600958,-0.98215383
109,600219,-0.98339677
110,300476,-0.9835355
111,601169,-0.98406065
112,002475,-0.9846615
113,688012,-0.98529774
114,600015,-0.9853571
115,600377,-0.9861486
116,002415,-0.9874117
117,600025,-0.9874911
118,600438,-0.98751056
119,601669,-0.9876535
120,000100,-0.9883482
121,601788,-0.98870564
122,601698,-0.98876226
123,601868,-0.98983115
124,600584,-0.99010295
125,300015,-0.990747
126,000001,-0.9919445
127,601136,-0.992245
128,600875,-0.9924655
129,601225,-0.9926063
130,600690,-0.9927885
131,300014,-0.9931909
132,000776,-0.99329674
133,600760,-0.99353707
134,600036,-0.99368703
135,001979,-0.9937043
136,002142,-0.9937195
137,601872,-0.9949303
138,002459,-0.9952793
139,600196,-0.9958183
140,002049,-0.995825
141,603195,-0.99592036
142,000876,-0.99614894
143,300413,-0.9962385
144,600031,-0.99699265
145,600009,-0.9971047
146,688472,-0.9974353
147,002304,-0.99826
148,600362,-0.9983557
149,002493,-0.99846464
150,300896,-0.9990154
151,003816,-0.99938494
152,300502,-0.9998151
153,000630,-0.99987215
154,600346,-1.0000011
155,601298,-1.0000274
156,600886,-1.000187
157,601766,-1.0014942
158,601818,-1.0025153
159,002384,-1.0025992
160,600930,-1.003099
161,600023,-1.0031462
162,600018,-1.0041845
163,300059,-1.0043714
164,601111,-1.0045379
165,600161,-1.0048033
166,300498,-1.0049639
167,600938,-1.0057833
168,601006,-1.0069036
169,300347,-1.0073965
170,000063,-1.0075345
171,600741,-1.0085323
172,300759,-1.0088055
173,603392,-1.0091925
174,300832,-1.0094997
175,601916,-1.0098914
176,600276,-1.0108827
177,601117,-1.0112153
178,300866,-1.0123545
179,600887,-1.0127406
180,600016,-1.0128967
181,000858,-1.0139822
182,002028,-1.0143888
183,600482,-1.014396
184,601658,-1.0147626
185,601988,-1.0148413
186,000651,-1.0155889
187,002916,-1.0156953
188,601995,-1.0157
189,000408,-1.0161884
190,600900,-1.0171809
191,601018,-1.0172157
192,000538,-1.0181669
193,601390,-1.0185286
194,001391,-1.0199099
195,000768,-1.0201869
196,000807,-1.0208176
197,601633,-1.0208507
198,000661,-1.0227501
199,000568,-1.023375
200,600183,-1.0235223
201,301269,-1.023947
202,601012,-1.0262822
203,601919,-1.0265821
204,002027,-1.0266154
205,688169,-1.0285298
206,601878,-1.0290775
207,001965,-1.02947
208,601800,-1.0295283
209,688009,-1.0297422
210,688126,-1.030091
211,688187,-1.0302109
212,601838,-1.030805
213,300628,-1.0310625
214,002600,-1.0313743
215,300124,-1.032578
216,603369,-1.0340288
217,605499,-1.0341948
218,601127,-1.0344903
219,688041,-1.0349579
220,000792,-1.0362982
221,600030,-1.0369478
222,002920,-1.0371727
223,600809,-1.0383307
224,603893,-1.0383725
225,000157,-1.0392823
226,600039,-1.0397998
227,600547,-1.0404241
228,601888,-1.0409486
229,000725,-1.041185
230,601688,-1.0414455
231,601360,-1.0415481
232,600600,-1.0424149
233,600905,-1.0427167
234,600010,-1.0427351
235,600019,-1.0428591
236,300033,-1.0430517
237,000938,-1.0430967
238,688111,-1.0434818
239,002252,-1.0445926
240,601100,-1.0447586
241,600999,-1.0454739
242,601319,-1.045667
243,600845,-1.0456879
244,601877,-1.0465009
245,002311,-1.0477295
246,000975,-1.0489783
247,002601,-1.0493755
248,601166,-1.0500255
249,601066,-1.0505341
250,688396,-1.0522408
251,300122,-1.0528458
252,601058,-1.0530635
253,002230,-1.0538262
254,688008,-1.0542082
255,601377,-1.0543075
256,601607,-1.0548899
257,300442,-1.055205
258,600160,-1.0558515
259,601328,-1.0559402
260,601238,-1.0574008
261,601985,-1.0596243
262,603296,-1.0604897
263,601236,-1.0610224
264,600460,-1.0613108
265,601229,-1.0637813
266,601186,-1.0662463
267,601336,-1.0712131
268,601825,-1.0718381
269,601456,-1.073517
270,000895,-1.0766965
271,600415,-1.0767965
272,601728,-1.077559
273,601600,-1.0809844
274,600000,-1.081305
275,688082,-1.0823077
276,600674,-1.0829443
277,600893,-1.0874443
278,302132,-1.087809
279,603288,-1.088225
280,603986,-1.0947729
281,600406,-1.0964096
282,601088,-1.0971489
283,002709,-1.0982611
284,688271,-1.0990286
285,600989,-1.1013634
286,600803,-1.1027281
287,600176,-1.1053635
288,600048,-1.1097479
289,002460,-1.1207536
290,601398,-1.1246935
291,002050,-1.1280706
292,002241,-1.1336374
293,000338,-1.1372982
294,600522,-1.1714926
295,000425,-1.1731931
296,002001,-1.1810399
297,601689,-1.1833315
298,300433,-1.1916668
299,603259,-1.1987193
300,603019,-1.2485212
