scheme,k,score,stocks,weights,returns
top1_100,1,0.05356153219233903,300394,1.0000,0.053562
decay_50_20_15_10_05,5,0.03196153610313762,"300394,300251,300803,688472,300442","0.5000,0.2000,0.1500,0.1000,0.0500","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
top2_70_30,2,0.030479630103310583,"300394,300251","0.7000,0.3000","0.053562,-0.023378"
softmax_t0.1,5,0.027302941400605973,"300394,300251,300803,688472,300442","0.2789,0.2072,0.1958,0.1750,0.1431","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
softmax_t0.2,5,0.026206371869791457,"300394,300251,300803,688472,300442","0.2376,0.2048,0.1991,0.1882,0.1703","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
softmax_t0.5,5,0.02556625092043479,"300394,300251,300803,688472,300442","0.2146,0.2022,0.1999,0.1955,0.1878","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
softmax_t1.0,5,0.025347270925038773,"300394,300251,300803,688472,300442","0.2072,0.2011,0.2000,0.1978,0.1939","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
softmax_t2.0,5,0.02523719582454513,"300394,300251,300803,688472,300442","0.2036,0.2006,0.2000,0.1989,0.1969","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
equal5,5,0.02512607392281065,"300394,300251,300803,688472,300442","0.2000,0.2000,0.2000,0.2000,0.2000","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
decay_30_25_20_15_10,5,0.024852671535755527,"300394,300251,300803,688472,300442","0.3000,0.2500,0.2000,0.1500,0.1000","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
decay_40_25_20_10_05,5,0.0240558685282805,"300394,300251,300803,688472,300442","0.4000,0.2500,0.2000,0.1000,0.0500","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
decay_35_25_18_12_10,5,0.02337583270745667,"300394,300251,300803,688472,300442","0.3500,0.2500,0.1800,0.1200,0.1000","0.053562,-0.023378,-0.027612,0.156905,-0.033846"
top2_60_40,2,0.022785662740301107,"300394,300251","0.6000,0.4000","0.053562,-0.023378"
top3_60_25_15,3,0.02215056210475817,"300394,300251,300803","0.6000,0.2500,0.1500","0.053562,-0.023378,-0.027612"
top3_50_30_20,3,0.014244894529901044,"300394,300251,300803","0.5000,0.3000,0.2000","0.053562,-0.023378,-0.027612"
top3_45_35_20,3,0.010397910848396304,"300394,300251,300803","0.4500,0.3500,0.2000","0.053562,-0.023378,-0.027612"
